# Pathway	FF05293354_Coverage
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)|unclassified	0.0000000000
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.0000000000
CALVIN-PWY: Calvin-Benson-Bassham cycle|unclassified	0.0000000000
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	0.0000000000
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|unclassified	0.0000000000
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Parasutterella.s__Parasutterella_excrementihominis	0.3927687598
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	0.0000000000
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|unclassified	0.0000000000
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Parasutterella.s__Parasutterella_excrementihominis	0.3927687598
PWY-5484: glycolysis II (from fructose 6-phosphate)	0.0000000000
PWY-5484: glycolysis II (from fructose 6-phosphate)|unclassified	0.0000000000
PWY-7663: gondoate biosynthesis (anaerobic)	0.0000000000
PWY-7663: gondoate biosynthesis (anaerobic)|unclassified	0.0000000000
PWY-5103: L-isoleucine biosynthesis III	0.0000000000
PWY-5103: L-isoleucine biosynthesis III|unclassified	0.0000000000
PWY-5103: L-isoleucine biosynthesis III|g__Acutalibacter.s__Acutalibacter_muris	0.6948430065
THRESYN-PWY: superpathway of L-threonine biosynthesis	0.0000000000
THRESYN-PWY: superpathway of L-threonine biosynthesis|unclassified	0.0000000000
PWY-6317: D-galactose degradation I (Leloir pathway)	0.0000000000
PWY-6317: D-galactose degradation I (Leloir pathway)|unclassified	0.0000000000
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	0.0000000000
PWY-8178: pentose phosphate pathway (non-oxidative branch) II|unclassified	0.0000000000
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.0000000000
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation|unclassified	0.0000000000
PWY-5941: glycogen degradation II	0.0000000000
PWY-5941: glycogen degradation II|unclassified	0.0000000000
PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)	0.0000000000
PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)|unclassified	0.0000000000
RHAMCAT-PWY: L-rhamnose degradation I	0.0000000000
RHAMCAT-PWY: L-rhamnose degradation I|unclassified	0.0000000000
PWY-7315: dTDP-N-acetylthomosamine biosynthesis	0.0000000000
PWY-7315: dTDP-N-acetylthomosamine biosynthesis|unclassified	0.0000000000
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	0.0000000000
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I|unclassified	0.0000000000
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I|g__Lactobacillus.s__Lactobacillus_johnsonii	0.3341522623
PWY-5100: pyruvate fermentation to acetate and lactate II	0.0000000000
PWY-5100: pyruvate fermentation to acetate and lactate II|unclassified	0.0000000000
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Lactobacillus.s__Lactobacillus_johnsonii	0.3341522623
PWY-7237: myo-, chiro- and scyllo-inositol degradation	0.0000000000
PWY-7237: myo-, chiro- and scyllo-inositol degradation|unclassified	0.0000000000
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	0.0000000000
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|unclassified	0.0000000000
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	0.0000000000
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|unclassified	0.0000000000
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0.3151599957
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	0.0000000000
PWY-7400: L-arginine biosynthesis IV (archaebacteria)|unclassified	0.0000000000
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	0.0000000000
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)|unclassified	0.0000000000
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	0.0000000000
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)|unclassified	0.0000000000
PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)	0.0000000000
PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)|unclassified	0.0000000000
PWY-3001: superpathway of L-isoleucine biosynthesis I	0.0000000000
PWY-3001: superpathway of L-isoleucine biosynthesis I|unclassified	0.0000000000
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	0.0000000000
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|unclassified	0.0000000000
PWY-7111: pyruvate fermentation to isobutanol (engineered)	0.0000000000
PWY-7111: pyruvate fermentation to isobutanol (engineered)|unclassified	0.0000000000
PWY-6608: guanosine nucleotides degradation III	0.0000000000
PWY-6608: guanosine nucleotides degradation III|unclassified	0.0000000000
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	0.0000000000
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|unclassified	0.0000000000
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	0.0000000000
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|unclassified	0.0000000000
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Lactobacillus.s__Lactobacillus_johnsonii	0.3264895653
PWY-6270: isoprene biosynthesis I	0.0000000000
PWY-6270: isoprene biosynthesis I|unclassified	0.0000000000
ANAEROFRUCAT-PWY: homolactic fermentation	0.0000000000
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	0.0000000000
SALVADEHYPOX-PWY: adenosine nucleotides degradation II|unclassified	0.0000000000
FERMENTATION-PWY: mixed acid fermentation	0.0000000000
FERMENTATION-PWY: mixed acid fermentation|unclassified	0.0000000000
PWY-6901: superpathway of glucose and xylose degradation	0.0000000000
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.0000000000
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|unclassified	0.0000000000
PWY-7560: methylerythritol phosphate pathway II	0.0000000000
PWY-7560: methylerythritol phosphate pathway II|unclassified	0.0000000000
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	0.0000000000
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|unclassified	0.0000000000
PWY0-1477: ethanolamine utilization	0.0000000000
PWY0-1477: ethanolamine utilization|unclassified	0.0000000000
PWY-6897: thiamine diphosphate salvage II	0.0000000000
PWY-6897: thiamine diphosphate salvage II|unclassified	0.0000000000
PWY-2941: L-lysine biosynthesis II	0.0000000000
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	0.0000000000
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis|unclassified	0.0000000000
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation	0.0000000000
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation|unclassified	0.0000000000
PWY-6143: CMP-pseudaminate biosynthesis	0.0000000000
PWY-6143: CMP-pseudaminate biosynthesis|unclassified	0.0000000000
PWY-7356: thiamine diphosphate salvage IV (yeast)	0.0000000000
PWY-7356: thiamine diphosphate salvage IV (yeast)|unclassified	0.0000000000
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	0.0000000000
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)|unclassified	0.0000000000
PWY-6353: purine nucleotides degradation II (aerobic)	0.0000000000
PWY-6353: purine nucleotides degradation II (aerobic)|unclassified	0.0000000000
P441-PWY: superpathway of N-acetylneuraminate degradation	0.0000000000
CENTFERM-PWY: pyruvate fermentation to butanoate	0.0000000000
CENTFERM-PWY: pyruvate fermentation to butanoate|unclassified	0.0000000000
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	0.0000000000
PWY0-1297: superpathway of purine deoxyribonucleosides degradation|unclassified	0.0000000000
PENTOSE-P-PWY: pentose phosphate pathway	0.0000000000
PWY-6549: L-glutamine biosynthesis III	0.0000000000
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV	0.0000000000
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|unclassified	0.0000000000
PWY-6936: seleno-amino acid biosynthesis (plants)	0.0000000000
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	0.0000000000
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation|unclassified	0.0000000000
GALACTUROCAT-PWY: D-galacturonate degradation I	0.0000000000
GALACTUROCAT-PWY: D-galacturonate degradation I|unclassified	0.0000000000
PWY-5981: CDP-diacylglycerol biosynthesis III	0.0000000000
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	0.0000000000
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation|unclassified	0.0000000000
THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	0.0000000000
THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes)|unclassified	0.0000000000
GLYCOCAT-PWY: glycogen degradation I	0.0000000000
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	0.0000000000
PWY-I9: L-cysteine biosynthesis VI (from L-methionine)	0.0000000000
PWY-I9: L-cysteine biosynthesis VI (from L-methionine)|unclassified	0.0000000000
PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type	0.0000000000
PWY-5030: L-histidine degradation III	0.0000000000
PWY-5030: L-histidine degradation III|unclassified	0.0000000000
PWY-7242: D-fructuronate degradation	0.0000000000
PWY-7242: D-fructuronate degradation|unclassified	0.0000000000
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	0.0000000000
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation|unclassified	0.0000000000
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	0.0000000000
PWY-6588: pyruvate fermentation to acetone	0.0000000000
PWY-6588: pyruvate fermentation to acetone|unclassified	0.0000000000
PWY-5913: partial TCA cycle (obligate autotrophs)	0.0000000000
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation	0.0000000000
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation|unclassified	0.0000000000
PWY-7761: NAD salvage pathway II (PNC IV cycle)	0.0000000000
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	0.0000000000
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis|unclassified	0.0000000000
PWY-7234: inosine-5'-phosphate biosynthesis III	0.0000000000
PWY-7234: inosine-5'-phosphate biosynthesis III|unclassified	0.0000000000
PWY-6823: molybdopterin biosynthesis	0.0000000000
PWY-6823: molybdopterin biosynthesis|unclassified	0.0000000000
PWY-6902: chitin degradation II (Vibrio)	0.0000000000
PWY-6902: chitin degradation II (Vibrio)|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0.5186827263
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)	0.0000000000
P161-PWY: acetylene degradation (anaerobic)	0.0000000000
P161-PWY: acetylene degradation (anaerobic)|unclassified	0.0000000000
PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type	0.0000000000
PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type|unclassified	0.0000000000
PWY-6606: guanosine nucleotides degradation II	0.0000000000
PWY-6606: guanosine nucleotides degradation II|unclassified	0.0000000000
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.0000000000
P164-PWY: purine nucleobases degradation I (anaerobic)	0.0000000000
P164-PWY: purine nucleobases degradation I (anaerobic)|unclassified	0.0000000000
PWY0-1061: superpathway of L-alanine biosynthesis	0.0000000000
PWY0-1061: superpathway of L-alanine biosynthesis|unclassified	0.0000000000
LACTOSECAT-PWY: lactose and galactose degradation I	0.0000000000
LACTOSECAT-PWY: lactose and galactose degradation I|g__Lactobacillus.s__Lactobacillus_johnsonii	0.7930382681
PWY-3781: aerobic respiration I (cytochrome c)	0.0000000000
PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)	0.0000000000
PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)|unclassified	0.0000000000
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	0.0000000000
FUCCAT-PWY: fucose degradation	0.0000000000
PWY-702: L-methionine biosynthesis II	0.0000000000
PWY-5676: acetyl-CoA fermentation to butanoate II	0.0000000000
PWY-5676: acetyl-CoA fermentation to butanoate II|unclassified	0.0000000000
PWY-6607: guanosine nucleotides degradation I	0.0000000000
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis	0.0000000000
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis|unclassified	0.0000000000
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	0.0000000000
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila	0.5587600115
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	0.0000000000
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)|unclassified	0.0000000000
PWY66-391: fatty acid &beta;-oxidation VI (mammalian peroxisome)	0.0000000000
PWY66-391: fatty acid &beta;-oxidation VI (mammalian peroxisome)|unclassified	0.0000000000
PWY-6595: superpathway of guanosine nucleotides degradation (plants)	0.0000000000
PWY-5659: GDP-mannose biosynthesis	0.0000000000
PWY1ZNC-1: assimilatory sulfate reduction IV	0.0000000000
PWY1ZNC-1: assimilatory sulfate reduction IV|unclassified	0.0000000000
SO4ASSIM-PWY: assimilatory sulfate reduction I	0.0000000000
SO4ASSIM-PWY: assimilatory sulfate reduction I|unclassified	0.0000000000